sep=;
acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;mag_x;mag_y;mag_z;sound_lvl;time_ms;date_time
2.914;3.619;4.739;1.88;5.607;7.823;0.12;-2.603;-3.226;-0.338;-0.082;-1.145;0.2;-30.2;9.0;43.23;15;2018-04-16 23:00:19:176
-0.001;2.228;4.323;1.835;5.603;7.836;-1.836;-3.376;-3.513;-0.305;-0.151;-1.1;1.2;-29.3;10.0;50.02;25;2018-04-16 23:00:19:186
-2.303;1.235;5.283;1.826;5.626;7.822;-4.222;-4.556;-2.748;-0.011;-0.494;-0.723;2.3;-29.3;9.6;50.02;35;2018-04-16 23:00:19:196
-2.303;1.235;5.283;1.826;5.626;7.822;-4.222;-4.556;-2.748;-0.011;-0.494;-0.723;2.3;-29.3;9.6;50.02;46;2018-04-16 23:00:19:207
-2.794;0.919;2.847;1.874;5.654;7.79;-4.441;-4.731;-3.921;0.315;-0.623;-0.077;2.4;-29.4;11.2;50.02;56;2018-04-16 23:00:19:217
-2.794;0.919;2.847;1.874;5.654;7.79;-4.441;-4.731;-3.921;0.315;-0.623;-0.077;2.4;-29.4;11.2;50.02;66;2018-04-16 23:00:19:227
-2.794;0.919;2.847;1.874;5.654;7.79;-4.441;-4.731;-3.921;0.315;-0.623;-0.077;2.4;-29.4;11.2;50.02;76;2018-04-16 23:00:19:237
-3.485;0.877;0.0;2.239;5.722;7.643;-5.724;-4.845;-7.643;0.552;-1.922;0.468;2.8;-28.7;10.1;50.02;86;2018-04-16 23:00:19:247
-1.912;-1.924;2.215;2.239;5.722;7.643;-5.724;-4.845;-7.643;1.222;-4.213;1.918;3.9;-28.7;10.0;50.02;96;2018-04-16 23:00:19:257
-1.052;-2.765;2.885;3.362;5.822;7.14;-4.992;-8.056;-4.525;1.459;-4.42;2.932;3.9;-28.7;10.0;50.02;105;2018-04-16 23:00:19:266
-1.052;-2.765;2.885;3.362;5.822;7.14;-4.992;-8.056;-4.525;1.459;-4.42;2.932;4.4;-28.6;9.1;50.02;115;2018-04-16 23:00:19:276
